ALC,Origin,Destination,Number,FL Cap,Track,Production,Disabled,Deletion Date,Route,G/C,Distance,EU Emissions,Source,Updated,Valid Days,Valid Date,Valid From,Valid To,Aircraft,Acft Type,Route Qual,Origin Rwy,Destination Rwy,Comments
,CYYZ,CYMX,1,,,Yes,No,,CYYZ MTTA CYMX,267,267,319,FMS,2013-07-16 1215,,,,,,,,,,"SINGLE ROUTE TO START NEW SYSTEM WITH
"
,CYYZ,CYVR,1,,,Yes,No,,CYYZ MTTA CYVR,1806,1806,1863,FMS,2003-02-14 0038,,,,,,,,,,"SINGLE ROUTE TO START NEW SYSTEM WITH
"
,EDDF,RKSI,96,410,,Yes,No,,EDDF MARUN2N MARUN Y150 TOLGI DCT GARLU DCT DETNI DCT KOLJA DCT EVONA DCT NETNA DCT TUKMA P989 OBIBA P997 AKUGI T635 SADER T580 ADMUR G117 XV R229 BA R104 ABK P865 GINOM Y684 UDA Y345 POLHO W33 UKDUM W201 UNSEK A326 DONVO G597 AGAVO Y644 REBIT REBIT2H RKSI,4613,4883,4676,MJ,2024-04-08 0054,,,,,,,,25C,16L,"1. OVF RUSSIA 2. CONFIRM WITH EBBR RKSI
"
,KBFI,PANC,1,410,,Yes,No,,KBFI NRVNA1 NRVNA DCT PERLL DCT ARRIE J523 YZP DCT FRIED J804R MDO WITTI5 PANC,1252,1309,1306,MJ,2025-09-15 0438,,,,,,,,14R,07R,"1. BFI-ANC RTE 2. ATC CONFIRMED
"
,KBFI,PANC,97,410,,Yes,No,,KBFI NRVNA1 NRVNA DCT PANGL DCT YZT J523 YZP DCT FRIED J804R MDO WITTI5 PANC,1252,1303,1306,MJ,2025-09-15 0437,,,,,,,,14R,07R,"1. BFI-ANC NML RTE 2. BFI 14DEP 3. SPECIAL FLIGHT AUTH REQ CA
O/F PERMIT 4.  5. RMK - 2023.10.10 8524 CONFIRM RTE
"
,KBFI,PANC,99,410,,Yes,No,,KBFI NRVNA1 NRVNA DCT 5441N13143W DCT BKA DCT LAIRE DCT JOH WITTI5 PANC,1252,1295,1306,CS,2025-04-17 0842,,,,,,,,14R,07R,"TEST
"
,KMZJ,KPHX,1,260,,Yes,No,,KMZJ DCT HOTTT PINNG1 KPHX,65,119,117,SK,2024-04-01 0642,,,,,,,,12,8,"1. KMZJ-KPHX DIVERT ROUTE 2. 2024.04.01
"
,KMZJ,KTUS,1,200,,Yes,No,,KMZJ DCT OPRAE DCT KTUS,31,41,82,SK,2024-04-01 0646,,,,,,,,12,22,"1. KMZJ-KTUS DIVERT ROUTE 2. 2024.04.01
"
,KVCV,PANC,1,410,,Yes,No,,KVCV DCT VCV DCT PMD DCT RZS J501 PYE J143 ENI DCT FOT DCT KYLLE B453 MDO WITTI5 PANC,2025,2125,2078,JK,2023-02-01 1933,,,,,,,,17,07L,"1. VCV/ANC RTE
2. VCV DEP RWY 17
3. NIL
4. NIL
5. RMK

"
,LBSF,EGSY,1,390,,Yes,No,,LBSF OGOTA4S OGOTA T228 UTEKA DCT DONIV DCT TISAK DCT TONDO DCT OKORA DCT ABETI DCT RENKA L610 INBED DCT BOMBI DCT ADKUV DCT SOGRI L608 DENUT L610 KOPUL Q63 ICTAM ICTAM2C EGSY,1207,1250,1261,GL,2025-10-20 0457,,,,,,,,9,7,"1. HL8234 RETURN FERRY FLT 2. COA FLT ONLY RQ ATC FILE 
"
