Database
Id,Effectivity,Cycle,Effective Dates,Supplier,Extract Code,Database Created,Report Created,NDB Size,Target OFPs,Origin,Application Copyright,CSV Report Copyright
JJA1260701,New Cycle,2607,JUL09AUG05/26   ,JEPP,7C1,06/24/2026 22:07:55,06/30/2026 08:41:40,2304 / 7936 KB (29.0%),"U10.6, U10.7, U10.8A, U12.0, U13.0, U14.0, U14.1",D:\수연\운항기술팀\★ NAVDATA (NDB)\2026\2607\JJA12607.01,"© 2019 GE Aviation Systems LLC, NDB Explorer","© 2026 GE Aviation Systems LLC, CSV Report"

Airports
Id,Latitude,Longitude,Elevation,Magnetic Variation,Speed Limit,Speed Limit Altitude,Transition Altitude,Transition Level,WGS-84,True North,TOS-2,Name
CYVR,N 49° 11' 40.90",W 123° 10' 57.10",13,17.0,250,10000,18000,18000,True,,,
CYXS,N 53° 53' 02.55",W 122° 40' 39.20",2266,18.0,250,10000,18000,18000,True,,,
CYXY,N 60° 42' 34.40",W 135° 04' 02.10",2317,19.0,250,10000,18000,18000,True,,,
EDDM,N 48° 21' 13.60",E 011° 47' 09.90",1487,3.0,250,10000,5000,,True,,,
EGBB,N 52° 27' 14.00",W 001° 44' 53.00",339,1.0,250,10000,6000,,True,,,
EGKK,N 51° 08' 53.00",W 000° 11' 25.00",203,1.0,250,10000,6000,,True,,,
EGLL,N 51° 28' 39.00",W 000° 27' 41.00",83,1.0,250,10000,6000,,True,,,
EGSY,N 51° 24' 17.00",W 003° 26' 09.00",164,0.0,250,10000,6000,,True,,,
KLAS,N 36° 04' 49.25",W 115° 09' 08.80",2183,11.0,250,10000,18000,18000,True,,,
KMZJ,N 32° 30' 35.40",W 111° 19' 31.20",1893,12.0,250,10000,18000,18000,True,,,
KPDX,N 45° 35' 19.35",W 122° 35' 48.75",31,16.0,250,10000,18000,18000,True,,,
KPHX,N 33° 26' 03.40",W 112° 00' 41.70",1135,12.0,250,10000,18000,18000,True,,,
KSEA,N 47° 26' 59.60",W 122° 18' 42.40",432,16.0,250,10000,18000,18000,True,,,
KTUS,N 32° 07' 01.45",W 110° 56' 29.25",2643,9.0,250,10000,18000,18000,True,,,
LBBG,N 42° 34' 13.00",E 027° 30' 55.00",137,6.0,250,10000,10500,,True,,,
LBPD,N 42° 04' 04.00",E 024° 51' 03.00",603,6.0,250,10000,10500,,True,,,
LBSF,N 42° 41' 42.00",E 023° 24' 30.00",1745,6.0,250,10000,10500,,True,,,
LTAC,N 40° 07' 41.00",E 032° 59' 42.00",3158,6.0,250,10000,10000,,True,,,
LTCG,N 40° 59' 45.00",E 039° 47' 07.00",105,5.0,250,10000,12000,,True,,,
LTFM,N 41° 16' 31.00",E 028° 45' 07.00",325,6.0,,,12000,,True,,,
PACD,N 55° 12' 21.30",W 162° 43' 34.50",100,12.0,250,10000,18000,18000,True,,,
