"ARP","RWYNM","TYPNM","RVR","VIS","DH","CIG","RMK"
"BKI","02","RNAV",,"1000m","344","N","GNSS"
"BKI","20","ILS(CAT Ⅰ)",,"2310m","572","N",
"BKI","02","VOR",,"1400m","395","N",
"BKI","02","RNAV",,"3100m","546","N","RNP"
"BKI","02","ILS(CAT Ⅰ)",,"900m","286","N",
"BKI","02/20","TAKE OFF","550M","800M",,"N",
"BKI","20","RNAV",,"3200m","630","N","GNSS"
"BKI","20","RNAV",,"4100m","699","N","RNP"
"BKI","20","VOR",,"3200m","619","N",
"BKK","01","ILS(CAT Ⅰ)","600M",,"256FT","N",
"BKK","19","ILS(CAT Ⅱ)","400M",,"136FT","N",
"BKK","19","ILS(CAT Ⅰ)","550M",,"246FT","N",
"BKK","02R","ILS(CAT Ⅱ)","450M",,"146FT","N",
"BKK","20L","ILS(CAT Ⅰ)","550M",,"200FT","N",
"BKK","01","ILS(CAT Ⅱ)","450M",,"186FT","N",
"BKK","02R","ILS(CAT Ⅰ)","550M",,"246FT","N",
"BKK","20L","ILS(CAT Ⅱ)","400M",,"126FT","N",
"BKK","01","RNAV","1700M",,"536FT","N",
"BKK","02L","RNAV","1700M",,"532FT","N",
"BKK","02R","RNAV","1700M",,"536FT","N",
"BKK","20R","RNAV","2000M",,"592FT","N",
"BKK","20L","RNAV","2000M",,"596FT","N",
"BKK","19","RNAV","2000M",,"596FT","N",
"BTH","04","RNAV",,"1500","407","N","RNP"
"BTH","04","VOR",,"1600","437","N",
"BTH","04","ILS(CAT Ⅰ)",,"800","267","N",
"BTH","22","RNAV",,"2500","503","N","RNP"
"BTH","22","VOR",,"1700","373","N",
"BWN","03/21","TAKE OFF","250M",,,"N",
"BWN","03","ILS(CAT Ⅰ)",,"800M","290","N",
"BWN","21","ILS(CAT Ⅰ)",,"800M","216","N",
"BWN","03","VOR DME",,"1200M","402","N",
"BWN","03","NDB",,"1200M","402","N",
"BWN","21","VOR DME",,"1600M","527","N",
"CAN","20L","ILS(CAT Ⅰ)","550M","800M","200","N",
"CAN","01","ILS(CAT Ⅰ)","550M","800M","200","N",
"CAN","02L","ILS(CAT Ⅰ)","550M","800M","200","N",
"CAN","19","ILS(CAT Ⅰ)","550M","800M","200","N",
"CAN","02R","ILS(CAT Ⅰ)","550M","800M","200","N",
"CAN","20R","ILS(CAT Ⅰ)","550M","800M","200","N",
"CEB","22","VOR DME",,"2000m","469","N",
"CEB","22","VOR",,"2400m","529","N",
"CEB","22","RNAV",,"1200m","429","N",
"CEB","04","RNAV",,"1200m","389","N",
"CEB","04","VOR",,"2400m","542","N",
"CEI","21","VOR",,"4400M","885","N",
"CEI","03","VOR",,"2200M","550","N",
"CEI","03","ILS(CAT Ⅰ)",,"800M","200","N",
"CEI","03/21","TAKE OFF",,"250M",,"N",
"CEI","03","NDB DME",,"1400M","420","N",
"CEI","03","ILS(LOC)",,"800M","360","N",
"CEI","21","RNAV",,"4000M","855","N",
"CEI","03","RNAV",,"1200M","440","N",
"CJJ","RWY 24R","LOC DME","4000ft","3/4sm","433","Y","RVR4000ft (1200m), 3/4sm (1200m), CIG 500ft required"
